food,size,female
2,1.24,1
2,1.45,1
2,1.63,1
2,1.78,1
2,1.98,1
1,2.36,1
1,2.79,1
3,3.68,1
2,1.3,1
3,1.45,1
3,1.65,1
2,1.78,1
1,2.03,1
1,2.39,1
1,2.84,1
1,3.71,1
2,1.3,1
2,1.47,1
2,1.65,1
3,1.78,1
1,2.03,1
1,2.41,1
3,3.25,1
1,3.89,1
1,1.32,1
1,1.47,1
1,1.65,1
2,1.8,1
1,2.16,1
1,2.44,1
3,3.28,1
1,1.32,1
2,1.5,1
1,1.65,1
1,1.8,1
1,2.26,1
1,2.46,1
1,3.33,1
1,1.4,1
2,1.52,0
1,1.68,0
1,1.85,0
1,2.31,0
3,2.56,0
1,3.56,0
2,1.42,0
2,1.55,0
2,1.7,0
2,1.88,0
1,2.31,0
1,2.67,0
1,3.58,0
1,1.42,0
2,1.6,0
3,1.73,0
2,1.93,0
1,2.36,0
2,2.72,0
1,3.66,0
