death,law,year,q4
1687,0,1969,0
1508,0,1969,0
1507,0,1969,0
1385,0,1969,0
1632,0,1969,0
1511,0,1969,0
1559,0,1969,0
1630,0,1969,0
1579,0,1969,0
1653,0,1969,1
2152,0,1969,1
2148,0,1969,1
1752,0,1970,0
1765,0,1970,0
1717,0,1970,0
1558,0,1970,0
1575,0,1970,0
1520,0,1970,0
1805,0,1970,0
1800,0,1970,0
1719,0,1970,0
2008,0,1970,1
2242,0,1970,1
2478,0,1970,1
2030,0,1971,0
1655,0,1971,0
1693,0,1971,0
1623,0,1971,0
1805,0,1971,0
1746,0,1971,0
1795,0,1971,0
1926,0,1971,0
1619,0,1971,0
1992,0,1971,1
2233,0,1971,1
2192,0,1971,1
2080,0,1972,0
1768,0,1972,0
1835,0,1972,0
1569,0,1972,0
1976,0,1972,0
1853,0,1972,0
1965,0,1972,0
1689,0,1972,0
1778,0,1972,0
1976,0,1972,1
2397,0,1972,1
2654,0,1972,1
2097,0,1973,0
1963,0,1973,0
1677,0,1973,0
1941,0,1973,0
2003,0,1973,0
1813,0,1973,0
2012,0,1973,0
1912,0,1973,0
2084,0,1973,0
2080,0,1973,1
2118,0,1973,1
2150,0,1973,1
1608,0,1974,0
1503,0,1974,0
1548,0,1974,0
1382,0,1974,0
1731,0,1974,0
1798,0,1974,0
1779,0,1974,0
1887,0,1974,0
2004,0,1974,0
2077,0,1974,1
2092,0,1974,1
2051,0,1974,1
1577,0,1975,0
1356,0,1975,0
1652,0,1975,0
1382,0,1975,0
1519,0,1975,0
1421,0,1975,0
1442,0,1975,0
1543,0,1975,0
1656,0,1975,0
1561,0,1975,1
1905,0,1975,1
2199,0,1975,1
1473,0,1976,0
1655,0,1976,0
1407,0,1976,0
1395,0,1976,0
1530,0,1976,0
1309,0,1976,0
1526,0,1976,0
1327,0,1976,0
1627,0,1976,0
1748,0,1976,1
1958,0,1976,1
2274,0,1976,1
1648,0,1977,0
1401,0,1977,0
1411,0,1977,0
1403,0,1977,0
1394,0,1977,0
1520,0,1977,0
1528,0,1977,0
1643,0,1977,0
1515,0,1977,0
1685,0,1977,1
2000,0,1977,1
2215,0,1977,1
1956,0,1978,0
1462,0,1978,0
1563,0,1978,0
1459,0,1978,0
1446,0,1978,0
1622,0,1978,0
1657,0,1978,0
1638,0,1978,0
1643,0,1978,0
1683,0,1978,1
2050,0,1978,1
2262,0,1978,1
1813,0,1979,0
1445,0,1979,0
1762,0,1979,0
1461,0,1979,0
1556,0,1979,0
1431,0,1979,0
1427,0,1979,0
1554,0,1979,0
1645,0,1979,0
1653,0,1979,1
2016,0,1979,1
2207,0,1979,1
1665,0,1980,0
1361,0,1980,0
1506,0,1980,0
1360,0,1980,0
1453,0,1980,0
1522,0,1980,0
1460,0,1980,0
1552,0,1980,0
1548,0,1980,0
1827,0,1980,1
1737,0,1980,1
1941,0,1980,1
1474,0,1981,0
1458,0,1981,0
1542,0,1981,0
1404,0,1981,0
1522,0,1981,0
1385,0,1981,0
1641,0,1981,0
1510,0,1981,0
1681,0,1981,0
1938,0,1981,1
1868,0,1981,1
1726,0,1981,1
1456,0,1982,0
1445,0,1982,0
1456,0,1982,0
1365,0,1982,0
1487,0,1982,0
1558,0,1982,0
1488,0,1982,0
1684,0,1982,0
1594,0,1982,0
1850,0,1982,1
1998,0,1982,1
2079,0,1982,1
1494,0,1983,0
1057,1,1983,0
1218,1,1983,0
1168,1,1983,0
1236,1,1983,0
1076,1,1983,0
1174,1,1983,0
1139,1,1983,0
1427,1,1983,0
1487,1,1983,1
1483,1,1983,1
1513,1,1983,1
1357,1,1984,0
1165,1,1984,0
1282,1,1984,0
1110,1,1984,0
1297,1,1984,0
1185,1,1984,0
1222,1,1984,0
1284,1,1984,0
1444,1,1984,0
1575,1,1984,1
1737,1,1984,1
1763,1,1984,1
